Ewe/V	<I>/mA	
4,9201855E-001	3,303896262662659E+002
5,0073338E-001	3,365071211961974E+002
5,0072193E-001	3,337425971334397E+002
5,0073338E-001	3,338646580679197E+002
5,0071049E-001	3,345823386097315E+002
5,0072575E-001	3,354809241976172E+002
5,0074482E-001	3,343610375970609E+002
5,0075626E-001	3,339799985310386E+002
5,0079441E-001	3,345646241866766E+002
5,0075626E-001	3,357089561003505E+002
5,0073338E-001	3,356993146328218E+002
5,0073719E-001	3,343294137986546E+002
5,0075245E-001	3,347470963104269E+002
5,0072575E-001	3,355594972098561E+002
5,0073719E-001	3,363929784931186E+002
5,0075626E-001	3,349947334382647E+002
5,0071806E-001	3,347686987523788E+002
5,0078678E-001	3,353216546257227E+002
5,0077915E-001	3,363644694652988E+002
5,0068760E-001	3,359914182351716E+002
5,0074482E-001	3,346994896624957E+002
5,0074100E-001	3,352009792076351E+002
5,0073719E-001	3,359853933692968E+002
5,0074100E-001	3,366701511990952E+002
5,0075626E-001	3,350591993517585E+002
5,0070286E-001	3,350833057000237E+002
5,0072575E-001	3,356762680502083E+002
5,0076008E-001	3,366697265652954E+002
5,0074482E-001	3,359560639313000E+002
5,0074863E-001	3,348437307305927E+002
5,0074863E-001	3,354435519737727E+002
5,0074100E-001	3,362606820725402E+002
5,0071430E-001	3,367296553387820E+002
5,0073719E-001	3,350096106236991E+002
5,0075626E-001	3,352474399387892E+002
5,0073719E-001	3,358819377209313E+002
5,0073338E-001	3,368306656379646E+002
5,0074482E-001	3,358228562314017E+002
5,0074482E-001	3,349500855977814E+002
5,0077152E-001	3,356218460395561E+002
5,0072956E-001	3,364534371616381E+002
5,0076008E-001	3,366672829861321E+002
5,0072193E-001	3,349961109773620E+002
5,0072193E-001	3,354034585645568E+002
5,0074482E-001	3,360811909058965E+002
5,0071812E-001	3,369345468356572E+002
5,0071812E-001	3,356731487996412E+002
5,0075245E-001	3,350570282030220E+002
5,0072575E-001	3,357998207938080E+002
5,0076771E-001	3,366333298785849E+002
5,0076771E-001	3,365871579413833E+002
5,0073338E-001	3,350405238324879E+002
5,0074863E-001	3,355673442010211E+002
5,0070667E-001	3,362737786915234E+002
5,0078297E-001	3,370196578912741E+002
5,0072956E-001	3,355783486995902E+002
5,0079060E-001	3,352259620634908E+002
5,0074482E-001	3,360220870042569E+002
5,0076389E-001	3,368352489266546E+002
5,0071049E-001	3,365024897873890E+002
5,0075626E-001	3,351346218268731E+002
5,4192257E-001	3,756944369810741E+002
5,5068696E-001	3,679842959171589E+002
5,5069077E-001	3,678248192468704E+002
5,5071747E-001	3,684862912789615E+002
5,5067933E-001	3,666250950100199E+002
5,5070603E-001	3,664690456835681E+002
5,5065644E-001	3,675547013750565E+002
5,5072129E-001	3,686141283183238E+002
5,5064499E-001	3,680201739454091E+002
5,5072510E-001	3,667478237484719E+002
5,5069077E-001	3,676810475269299E+002
5,5069458E-001	3,686857626157877E+002
5,5067933E-001	3,692084456062867E+002
5,5069840E-001	3,673709902986382E+002
5,5074418E-001	3,675090395697038E+002
5,5070984E-001	3,685839222994943E+002
5,5068696E-001	3,694537817452969E+002
5,5070603E-001	3,684150993093896E+002
5,5075181E-001	3,673518152432222E+002
5,5069458E-001	3,682707065506150E+002
5,5070984E-001	3,692628130087832E+002
5,5067170E-001	3,693557880050284E+002
